particle,fluid,phi,T,size,k_ratio
CuO,H2O,0.005,35,2.00E-08,1.036332502
CuO,EG,0.005,50,7.00E-08,1.036467323
CuO,EG,0.005,60,1.50E-07,1.036479742
CuO,H2O,0.02,30,1.00E-07,1.036489709
CuO,EG,0.005,55,1.00E-07,1.036512993
CuO,H2O,0.02,25,7.00E-08,1.036617973
Al2O3,H2O,0.015,45,1.00E-07,1.03666297
Al2O3,H2O,0.01,60,1.25E-07,1.036675487
Al2O3,H2O,0.02,40,1.25E-07,1.036693269
Al2O3,H2O,0.025,35,1.50E-07,1.036796593
CuO,H2O,0.005,60,8.00E-08,1.036797087
