particle,fluid,phi,T,size,k_ratio
SiO2,H2O,0.04,20,3e-08,1.04716355111555
SiO2,H2O,0.045,20,3e-08,1.05316346908798
SiO2,H2O,0.05,20,3e-08,1.05918706156138
ZnO,H2O,0.005,20,3e-08,1.01817633593415
ZnO,H2O,0.01,20,3e-08,1.0365742672577
ZnO,H2O,0.015,20,3e-08,1.05519787116857
ZnO,H2O,0.02,20,3e-08,1.07405132550533
ZnO,H2O,0.025,20,3e-08,1.09313891187169
ZnO,H2O,0.03,20,3e-08,1.11246501887815
ZnO,H2O,0.035,20,3e-08,1.13203414550601
ZnO,H2O,0.04,20,3e-08,1.15185090459891
ZnO,H2O,0.045,20,3e-08,1.17192002648798
ZnO,H2O,0.05,20,3e-08,1.19224636275617
Al2O3,H2O,0.005,20,4e-08,1.01878829273645
Al2O3,H2O,0.01,20,4e-08,1.03781340189428
Al2O3,H2O,0.015,20,4e-08,1.05707983328745
Al2O3,H2O,0.02,20,4e-08,1.07659220776665
Al2O3,H2O,0.025,20,4e-08,1.09635526491412
Al2O3,H2O,0.03,20,4e-08,1.11637386688177
Al2O3,H2O,0.035,20,4e-08,1.13665300237917
Al2O3,H2O,0.04,20,4e-08,1.15719779081823
Al2O3,H2O,0.045,20,4e-08,1.17801348662188
Al2O3,H2O,0.05,20,4e-08,1.1991054837043
CuO,H2O,0.005,20,4e-08,1.01862035785718
CuO,H2O,0.01,20,4e-08,1.03747330449429
CuO,H2O,0.015,20,4e-08,1.05656322523517
CuO,H2O,0.02,20,4e-08,1.0758946163445
CuO,H2O,0.025,20,4e-08,1.09547208855835
CuO,H2O,0.03,20,4e-08,1.1153003707505
CuO,H2O,0.035,20,4e-08,1.13538431374047
CuO,H2O,0.04,20,4e-08,1.15572889424995
CuO,H2O,0.045,20,4e-08,1.17633921901411
CuO,H2O,0.05,20,4e-08,1.1972205290552
Fe,H2O,0.005,20,4e-08,1.0194335969524
Fe,H2O,0.01,20,4e-08,1.03912061197333
Fe,H2O,0.015,20,4e-08,1.05906603452961
Fe,H2O,0.02,20,4e-08,1.07927498593465
Fe,H2O,0.025,20,4e-08,1.09975272373255
Fe,H2O,0.03,20,4e-08,1.12050464625817
Fe,H2O,0.035,20,4e-08,1.14153629738168
Fe,H2O,0.04,20,4e-08,1.16285337144623
Fe,H2O,0.045,20,4e-08,1.18446171840807
Fe,H2O,0.05,20,4e-08,1.20636734918877
TiO2,H2O,0.005,20,4e-08,1.0153847435335
TiO2,H2O,0.01,20,4e-08,1.03092809399839
TiO2,H2O,0.015,20,4e-08,1.04663251680812
TiO2,H2O,0.02,20,4e-08,1.06250052873938
TiO2,H2O,0.025,20,4e-08,1.07853469927665
TiO2,H2O,0.03,20,4e-08,1.09473765199931
TiO2,H2O,0.035,20,4e-08,1.11111206601269
TiO2,H2O,0.04,20,4e-08,1.12766067742485
TiO2,H2O,0.045,20,4e-08,1.14438628087074
TiO2,H2O,0.05,20,4e-08,1.16129173108551
MgO,H2O,0.005,20,4e-08,1.01904878696306
MgO,H2O,0.01,20,4e-08,1.03834102392501
MgO,H2O,0.015,20,4e-08,1.0578814079621
MgO,H2O,0.02,20,4e-08,1.0776747577653
MgO,H2O,0.025,20,4e-08,1.09772601760201
MgO,H2O,0.03,20,4e-08,1.11804026143352
MgO,H2O,0.035,20,4e-08,1.13862269719564
MgO,H2O,0.04,20,4e-08,1.15947867124997
MgO,H2O,0.045,20,4e-08,1.18061367301379
MgO,H2O,0.05,20,4e-08,1.20203333977711
SiC,H2O,0.005,20,4e-08,1.01997541554736
SiC,H2O,0.01,20,4e-08,1.04021862568164
SiC,H2O,0.015,20,4e-08,1.06073505190887
SiC,H2O,0.02,20,4e-08,1.08153026307405
SiC,H2O,0.025,20,4e-08,1.10260998040057
SiC,H2O,0.03,20,4e-08,1.123980082738
SiC,H2O,0.035,20,4e-08,1.14564661202821
SiC,H2O,0.04,20,4e-08,1.16761577900052
SiC,H2O,0.045,20,4e-08,1.18989396910723
SiC,H2O,0.05,20,4e-08,1.21248774871134
SiO2,H2O,0.005,20,4e-08,1.00548750638007
SiO2,H2O,0.01,20,4e-08,1.01099512469913
SiO2,H2O,0.015,20,4e-08,1.01652296572678
SiO2,H2O,0.02,20,4e-08,1.02207114104761
SiO2,H2O,0.025,20,4e-08,1.02763976306861
SiO2,H2O,0.03,20,4e-08,1.03322894502684
SiO2,H2O,0.035,20,4e-08,1.03883880099705
SiO2,H2O,0.04,20,4e-08,1.04446944589947
SiO2,H2O,0.045,20,4e-08,1.05012099550766
SiO2,H2O,0.05,20,4e-08,1.05579356645642
ZnO,H2O,0.005,20,4e-08,1.01680982378315
ZnO,H2O,0.01,20,4e-08,1.03380908917674
ZnO,H2O,0.015,20,4e-08,1.05100101675236
ZnO,H2O,0.02,20,4e-08,1.0683889004987
ZnO,H2O,0.025,20,4e-08,1.08597610992562
ZnO,H2O,0.03,20,4e-08,1.10376609224095
ZnO,H2O,0.035,20,4e-08,1.12176237460302
ZnO,H2O,0.04,20,4e-08,1.13996856645207
ZnO,H2O,0.045,20,4e-08,1.15838836192363
ZnO,H2O,0.05,20,4e-08,1.17702554234741
Al2O3,H2O,0.005,20,5e-08,1.01784067836347
Al2O3,H2O,0.01,20,5e-08,1.03589481936936
Al2O3,H2O,0.015,20,5e-08,1.05416627717657
Al2O3,H2O,0.02,20,5e-08,1.07265899929043
Al2O3,H2O,0.025,20,5e-08,1.09137702940593
Al2O3,H2O,0.03,20,5e-08,1.11032451035558
Al2O3,H2O,0.035,20,5e-08,1.12950568716622
Al2O3,H2O,0.04,20,5e-08,1.14892491022976
Al2O3,H2O,0.045,20,5e-08,1.16858663859257
Al2O3,H2O,0.05,20,5e-08,1.18849544336907
CuO,H2O,0.005,20,5e-08,1.01768809148651
CuO,H2O,0.01,20,5e-08,1.03558599910898
CuO,H2O,0.015,20,5e-08,1.05369747839988
CuO,H2O,0.02,20,5e-08,1.07202637505749
CuO,H2O,0.025,20,5e-08,1.09057662766819
CuO,H2O,0.03,20,5e-08,1.10935227052798
CuO,H2O,0.035,20,5e-08,1.12835743656752
CuO,H2O,0.04,20,5e-08,1.14759636038506
CuO,H2O,0.045,20,5e-08,1.16707338139197
CuO,H2O,0.05,20,5e-08,1.18679294707582
Fe,H2O,0.005,20,5e-08,1.01842376838062
Fe,H2O,0.01,20,5e-08,1.03707522521524
Fe,H2O,0.015,20,5e-08,1.05595861754758
