particle,fluid,phi,T,size,k_ratio
CuO,EG,0.01,30,4.00E-08,1.178671265
CuO,EG,0.015,35,9.00E-08,1.178917768
CuO,40:60 EG/W,0.01,35,6.00E-08,1.179003137
CuO,H2O,0.04,30,7.00E-08,1.179084009
CuO,40:60 EG/W,0.025,30,7.00E-08,1.179108401
CuO,40:60 EG/W,0.01,40,9.00E-08,1.179253991
Al2O3,EG,0.01,30,1.50E-07,1.180035825
CuO,H2O,0.05,30,1.50E-07,1.180106891
CuO,60:40 EG/W,0.02,30,7.00E-08,1.180167461
CuO,H2O,0.035,35,9.00E-08,1.180310271
CuO,40:60 EG/W,0.01,45,1.25E-07,1.180327874
CuO,EG,0.01,45,1.50E-07,1.18057155
CuO,H2O,0.045,30,9.00E-08,1.180754466
CuO,H2O,0.02,30,3.00E-08,1.181079081
CuO,60:40 EG/W,0.035,30,1.25E-07,1.181152018
CuO,40:60 EG/W,0.035,30,1.00E-07,1.181162527
CuO,H2O,0.02,35,5.00E-08,1.181169474
CuO,H2O,0.025,40,9.00E-08,1.181279519
CuO,H2O,0.025,35,6.00E-08,1.181321703
CuO,EG,0.04,30,1.50E-07,1.181415493
CuO,H2O,0.045,35,1.50E-07,1.181420744
CuO,H2O,0.025,45,1.25E-07,1.181672841
CuO,60:40 EG/W,0.03,30,1.00E-07,1.181674931
CuO,H2O,0.03,45,1.50E-07,1.181815964
CuO,EG,0.015,30,5.00E-08,1.18184656
CuO,40:60 EG/W,0.03,30,8.00E-08,1.181928884
CuO,40:60 EG/W,0.04,30,1.25E-07,1.181952166
CuO,H2O,0.015,40,6.00E-08,1.182047915
CuO,H2O,0.015,35,4.00E-08,1.18234744
CuO,EG,0.03,30,9.00E-08,1.182552348
CuO,H2O,0.03,35,7.00E-08,1.182662475
CuO,H2O,0.035,30,5.00E-08,1.182809536
CuO,H2O,0.05,30,1.25E-07,1.183080221
CuO,EG,0.01,40,1.00E-07,1.183233652
CuO,60:40 EG/W,0.01,45,1.50E-07,1.18334511
CuO,60:40 EG/W,0.025,30,8.00E-08,1.183421925
CuO,60:40 EG/W,0.04,30,1.50E-07,1.183438685
CuO,60:40 EG/W,0.01,35,7.00E-08,1.183439033
CuO,H2O,0.035,40,1.25E-07,1.183535226
Al2O3,H2O,0.01,30,7.00E-08,1.183569435
CuO,H2O,0.045,30,8.00E-08,1.183627188
CuO,EG,0.02,30,6.00E-08,1.183733359
CuO,40:60 EG/W,0.02,35,9.00E-08,1.18377649
CuO,H2O,0.02,45,1.00E-07,1.183920128
CuO,H2O,0.04,30,6.00E-08,1.183978911
CuO,EG,0.025,35,1.25E-07,1.184111994
CuO,60:40 EG/W,0.015,35,9.00E-08,1.184253198
CuO,H2O,0.03,30,4.00E-08,1.18458766
CuO,H2O,0.01,35,3.00E-08,1.184613178
CuO,EG,0.03,35,1.50E-07,1.184614713
CuO,H2O,0.04,35,1.00E-07,1.184639766
Al2O3,H2O,0.015,30,1.50E-07,1.184642298
CuO,H2O,0.04,40,1.50E-07,1.184909424
CuO,H2O,0.035,35,8.00E-08,1.185020167
CuO,H2O,0.03,40,1.00E-07,1.185088241
CuO,H2O,0.015,45,8.00E-08,1.185260367
CuO,40:60 EG/W,0.035,30,9.00E-08,1.185305454
CuO,H2O,0.02,40,7.00E-08,1.185328209
CuO,40:60 EG/W,0.045,30,1.50E-07,1.185425132
CuO,EG,0.025,30,7.00E-08,1.185695414
CuO,40:60 EG/W,0.03,35,1.25E-07,1.185840943
Al2O3,40:60 EG/W,0.01,30,1.25E-07,1.185920899
CuO,H2O,0.045,35,1.25E-07,1.186013353
CuO,EG,0.02,35,1.00E-07,1.186027545
CuO,40:60 EG/W,0.035,35,1.50E-07,1.186248394
CuO,40:60 EG/W,0.015,45,1.50E-07,1.186310303
CuO,EG,0.015,40,1.25E-07,1.186325027
CuO,60:40 EG/W,0.01,30,4.00E-08,1.186440534
CuO,60:40 EG/W,0.03,30,9.00E-08,1.186647116
CuO,EG,0.035,30,1.00E-07,1.18678815
CuO,40:60 EG/W,0.015,35,7.00E-08,1.186890216
CuO,EG,0.015,35,8.00E-08,1.18706367
CuO,EG,0.04,30,1.25E-07,1.187080676
CuO,H2O,0.045,30,7.00E-08,1.187095341
CuO,H2O,0.05,30,1.00E-07,1.187108201
CuO,H2O,0.01,50,8.00E-08,1.187277186
CuO,H2O,0.025,50,1.50E-07,1.187403158
CuO,40:60 EG/W,0.025,30,6.00E-08,1.187533384
CuO,H2O,0.01,45,6.00E-08,1.187694892
CuO,60:40 EG/W,0.03,35,1.50E-07,1.187767429
CuO,H2O,0.02,50,1.25E-07,1.187805185
CuO,60:40 EG/W,0.01,40,1.00E-07,1.187865648
